Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Willie Proctor,47,8291.93,0,4.47,7,4/28/2012 20:15,"62726 Tracey Passage Apt. 685 South Brittany, RI 28461",Schmidt Group,0
Todd Harris,41,10017.82,0,6,8,9/10/2012 22:22,"28501 Shawn Village Apt. 894 New Jasonhaven, WY 35010-3731","Henry, Warren and Lyons",0
Kimberly Nichols,38,7320.49,0,1.58,10,1/16/2008 23:56,"4920 Byrd Ford Danielbury, VI 04457",King-Rodriguez,0
Derek Russell,43,8817.29,0,3.19,8,5/28/2010 12:49,"2445 Jean Row Vasquezbury, RI 25867-8317",Hartman-Smith,0
Robert Huff,36,8948.86,0,7.37,10,12/5/2010 10:46,"36802 Wallace Parkways Jacquelineland, IL 81451","Carlson, Guerra and Daniel",0
Kelly Terry,45,3689.95,1,5.01,11,10/9/2014 10:05,"3798 Johnson Gardens Hughesside, PR 65467","Ellis, Johnston and Sullivan",0
Francisco Martinez,52,8185.22,1,5.76,8,10/12/2016 21:52,"842 Hebert Wells Suite 823 North Tina, WI 75284-1996","Washington, Watson and Jarvis",0
Jason Garcia,43,9347.89,1,4.17,8,1/19/2009 11:50,"751 Robert Lock Suite 515 Smithmouth, KS 83199-2220",Reid and Sons,0
Daniel Johnson,42,12888.85,1,4.79,8,3/30/2010 4:37,"01614 Parker Garden New Patricia, SD 99014",Turner and Sons,0
Gregory Blake,41,5387.41,1,4.17,8,3/26/2013 16:02,"25024 Rasmussen Haven Port Brendantown, UT 25626-9953","Brooks, Sutton and Castro",0
Richard Odonnell,38,7605.49,0,6.99,10,3/13/2014 19:27,"0297 Mendoza Motorway Lisastad, IN 31184-3807","Lewis, West and Snyder",0
Monica Espinoza,45,8480.93,0,4.57,9,6/26/2009 10:22,"602 Jennifer Brook Suite 753 North Alison, NJ 24477","Pratt, Carter and Lopez",0
David Hansen,29,11274.46,1,4.43,8,3/31/2014 7:43,"742 Ortiz Street Apt. 568 Robertland, AS 94732-7050","Crawford, Scott and Smith",0
Elizabeth Chandler,43,13116.73,0,3.57,9,4/15/2006 3:59,USNS Garcia FPO AA 23264-4875,Morris Inc,0
