Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Cameron Williams,42,11066.8,0,7.22,8,8/30/2013 7:00,"10265 Elizabeth Mission Barkerburgh, AK 89518",Harvey LLC,1
Kevin Mueller,41,11916.22,0,6.5,11,8/13/2013 0:38,"6157 Frank Gardens Suite 019 Carloshaven, RI 17756",Wilson PLC,1
Eric Lozano,38,12884.75,0,6.67,12,6/29/2016 6:20,"1331 Keith Court Alyssahaven, DE 90114","Miller, Johnson and Wallace",1
Phillip White,42,8010.76,0,6.71,10,4/22/2014 12:43,"13120 Daniel Mount Angelabury, WY 30645-4695",Smith Inc,1
Cynthia Norton,37,9191.58,0,5.56,9,1/19/2016 15:31,"765 Tricia Row Karenshire, MH 71730",Love-Jones,1
Jessica Williams,48,10356.02,0,5.12,8,3/3/2009 23:13,"6187 Olson Mountains East Vincentborough, PR 74359",Kelly-Warren,1
Eric Butler,44,11331.58,1,5.23,11,12/5/2016 3:35,"4846 Savannah Road West Justin, IA 87713-3460",Reynolds-Sheppard,1
Zachary Walsh,32,9885.12,1,6.92,9,3/9/2006 14:50,"25271 Roy Expressway Suite 147 Brownport, FM 59852-6150",Singh-Cole,1
Ashlee Carr,43,14062.6,1,5.46,11,9/29/2011 5:47,"3725 Caroline Stravenue South Christineview, MA 82059",Lopez PLC,1
Jennifer Lynch,40,8066.94,1,7.11,11,3/28/2006 15:42,"363 Sandra Lodge Suite 144 South Ann, WI 51655-7561",Reed-Martinez,1
Paula Harris,30,11575.37,1,5.22,8,11/13/2016 13:13,Unit 8120 Box 9160 DPO AA 43432,"Briggs, Lamb and Mathews",1
Bruce Phillips,45,8771.02,1,6.64,11,5/28/2015 12:14,Unit 1895 Box 0949 DPO AA 40249,Figueroa-Maynard,1
Craig Garner,45,8988.67,1,4.84,11,2/16/2011 8:10,"897 Kelley Overpass Suite 349 West Rebekahport, AZ 44793",Abbott-Thompson,1
Nicole Olson,40,8283.32,1,5.1,13,11/22/2012 5:35,"11488 Weaver Cape Hernandezberg, WI 63417-8544","Smith, Kim and Marshall",1
Harold Griffin,41,6569.87,1,4.3,11,3/28/2015 2:13,"1774 Peter Row Apt. 712 New Autumn, MT 18782","Snyder, Lee and Morris",1
James Wright,38,10494.82,1,6.81,12,7/22/2015 8:38,"45408 David Path East Kimberlyshire, HI 54903-6698",Sanders-Pierce,1
Doris Wilkins,45,8213.41,1,7.35,11,9/3/2006 6:13,"28216 Wright Mount Apt. 356 Alichester, DE 40999-2369","Andrews, Adams and Davis",1
Katherine Carpenter,43,11226.88,0,8.08,12,10/22/2006 4:42,Unit 4948 Box 4814 DPO AP 42669,"Morgan, Phillips and Harrell",1
Lindsay Martin,53,5515.09,0,6.85,8,10/7/2015 0:27,"69203 Crosby Divide Apt. 878 Parkerview, CO 87064",Villanueva LLC,1
Kathy Curry,46,8046.4,1,5.69,8,11/6/2014 23:47,"9569 Caldwell Crescent Tanyaborough, RI 30637","Berry, Orr and Cabrera",1
Dean Miller,41,9771.22,0,5.81,11,5/30/2013 0:42,"803 Kelli Crossing Apt. 169 Jimenezberg, WV 56530-4240",Parks-Bradley,1
Kevin Ramos,56,12217.95,1,5.79,11,11/17/2016 14:37,"5775 Jared Stream Apt. 881 Port Jenniferfort, CO 63506-4063",Olsen LLC,1
Jennifer Wood,35,9381.12,1,6.78,11,3/27/2006 20:52,"1493 Phillips Haven Lake William, FM 00995-2870","Clark, Campbell and Armstrong",1
Paul Walker,41,10474.94,0,6.4,12,1/2/2012 5:08,"73006 Patty Avenue Apt. 646 New Sarahburgh, NV 24826",Dalton LLC,1
Lindsey Day,55,11158.5,1,4.86,10,1/7/2007 1:21,"85934 Dakota Mall Timothyville, MI 72421","Thompson, Hansen and Sanchez",1
Steven Hernandez,54,8207.1,0,4.26,11,4/5/2015 15:57,"14609 Perez Turnpike Bradleyberg, DE 99755","Yates, Martinez and Cox",1
Danielle Kirk,35,12403.81,0,4.42,11,7/31/2007 6:39,"20117 Johnson Ports Apt. 914 Jenniferfort, DC 40595",Reeves-Curtis,1
Troy Oliver,40,10041.13,0,7.61,11,7/30/2006 15:27,USCGC Blake FPO AA 66377-6894,Gates Ltd,1
Darlene Evans,44,12721.55,0,5.18,11,4/25/2011 2:53,"950 Christina Viaduct Anastad, IL 03324-2274",Dunlap and Sons,1
Mrs. Sarah Morales,37,8284.89,1,5.6,10,3/25/2009 6:10,"8807 Young Village Joneston, AR 56462","Taylor, Allen and Gardner",1
Laura Pierce,54,10661.48,1,5.16,8,12/26/2011 22:06,"PSC 3912, Box 7208 APO AA 23623",Charles-Branch,1
Carla Ball,45,10793.11,1,4.65,10,12/28/2016 4:07,"754 Shannon Mall South Shawn, AS 29886-0448",Barton Inc,1
Robert Hill,46,9322.44,1,2.69,11,11/16/2010 13:22,"2088 Kelli Way Millertown, MT 37058","Stevens, Harris and Greene",1
Joseph Harrell,44,9814.22,1,5.45,12,1/23/2010 7:15,USCGC Bell FPO AE 94532,"Fitzgerald, Sherman and Lowe",1
Tammy Shepherd,48,11740,1,4.97,11,3/6/2011 1:34,"234 Gonzalez Terrace Santiagohaven, CO 28918-5500",Martin Ltd,1
Kelly Carroll,37,14383.36,0,7.84,10,4/5/2011 0:21,"8268 Baker Rapid Suite 712 Alexiston, TN 05207-2057","Juarez, Pugh and Vargas",1
Heidi Munoz,38,11887.39,0,5.83,12,10/15/2009 17:14,USCGC Mason FPO AA 96632-5067,Mckinney-Rogers,1
Thomas Sawyer,48,10367.08,1,6.45,12,10/6/2008 17:15,"8113 Rodriguez Court Sheribury, SC 88474","Lopez, Kelly and Armstrong",1
Erin Rivera,37,8198.06,1,5.04,12,11/6/2016 1:13,"34727 Randy Prairie Apt. 275 South Pamelashire, AS 63214-4216","Wilkins, White and Martin",1
Raymond Berry,41,7777.37,0,4.81,12,1/20/2014 8:53,"75210 Mark Mill Apt. 397 Donnamouth, MA 40404-7466","Evans, Logan and Wilson",1
Patrick Bell,41,11699.26,0,6.99,12,3/31/2010 14:45,"93345 Monique Tunnel Apt. 431 North Chase, NJ 30518",Clark-Kramer,1
Jason Jones MD,55,16838.94,1,6.66,8,10/5/2007 15:48,"52454 Jessica Passage Apt. 097 Mitchellburgh, AS 30584-9004",Brown-Richardson,1
Jermaine Johnson,36,10484.33,1,8.84,10,4/29/2008 9:07,"4102 Griffin Courts Middletonton, FM 48608","Dunlap, Hughes and Taylor",1
George Archer,37,8736.06,1,5.51,12,12/23/2014 19:38,"5645 Henderson Streets Brandystad, CA 92343",Smith Inc,1
Richard Fields,50,10850.78,1,5.63,9,6/18/2010 7:10,"451 Flynn Streets Morenobury, NE 64722-7132",Brown-Bishop,1
Amanda Roberts,43,8601.01,0,5.65,12,2/3/2007 17:52,"PSC 9561, Box 4071 APO AA 92200-5783",Evans LLC,1
David Kennedy,45,11170.06,1,7.76,10,1/26/2011 19:05,"56990 Laurie Gardens Suite 145 West Tara, OH 24389",Williams-Hoffman,1
Adam Waters,40,11185.62,0,6.26,12,3/6/2006 18:36,"6040 Juan Forge Parrishville, NJ 27948",Reed Ltd,1
Patricia Elliott,36,9793.42,0,5.98,9,11/27/2007 12:24,"9072 Martinez Squares Suite 404 New Emilystad, NH 26441-4895",Ortiz Ltd,1
Summer Haley,43,12524.68,0,5.98,10,5/27/2010 4:46,"312 Wilson Oval Suite 872 East Michaeltown, MN 40127-6212","White, Vargas and Moore",1
Brittany Jackson,50,12682.9,0,4.58,10,9/11/2006 7:07,"082 Roth Island Daniellefurt, DE 69027-7185",Mcdonald-Cooper,1
Shawn Chavez,44,14036.28,1,7.25,10,1/30/2009 1:58,"42028 Hampton Flat Apt. 206 North Samuelburgh, ME 73072","Carter, Murphy and Valenzuela",1
Laura Fleming,41,10179.92,1,5.97,10,2/25/2010 0:17,"7023 Courtney Lodge Suite 935 Coxtown, NE 89508","Knight, Hammond and Mccoy",1
Marcus Garza,46,12772.72,1,6.46,9,7/3/2010 18:56,"06806 Lyons Drive Apt. 864 Port Michaelview, MH 56506","Holland, Jones and Schmidt",1
Heather Murphy,46,12122.19,0,7.53,11,12/30/2015 18:49,"1264 Williams Views Suite 114 Port Isaac, VI 31105-1539","Petersen, Howard and Bowen",1
Jeffrey Hill,40,9922.3,1,5.07,11,9/22/2006 20:58,"97907 Jensen Forge Brianmouth, MH 69993-8000","Williams, Bautista and Carr",1
Amy Griffin,48,4771.65,0,3.77,12,6/19/2007 4:30,"062 Trevor Falls Suite 665 North Mathewchester, MH 93744",Larson-Hall,1
Michelle Hill,42,10827.96,1,4.2,10,11/10/2008 19:35,"45946 Day Springs Mendozastad, NJ 46404","Pierce, Peterson and Maldonado",1
David Rodriguez,38,8642.01,1,4.76,11,8/13/2014 17:14,"7318 Graham Ville Apt. 633 Gibsonview, MI 04337-6720",Walker-Baker,1
Daniel Bartlett,45,6749.49,0,5.88,14,8/19/2006 17:13,"353 Gregory Spur Mariaburgh, KY 66125",Owens Group,1
Cheyenne Rogers,36,6447.99,1,5.52,11,5/7/2009 22:19,"58379 Amber Knoll Blackburgh, MH 69646-4368",Evans LLC,1
Seth Lopez,44,11091.21,0,5.9,10,7/10/2007 15:33,Unit 2311 Box 4695 DPO AA 98374,Hodges LLC,1
Brittany Hopkins,55,5024.52,0,8.11,9,2/10/2010 10:22,"2529 King Knoll Apt. 210 Michelleshire, NH 14266",Dixon-Love,1
Carla Patterson,58,12376.37,0,6.01,12,12/8/2007 8:05,"350 Gregory Isle South Tinaland, WI 44398","Pittman, Watts and Fitzgerald",1
Michelle Holloway,49,12458.8,0,5.04,9,1/21/2013 13:44,"6431 Kimberly Harbors South Dylan, MS 05388-2846","Martinez, Clark and Jackson",1
Kenneth Bryant,47,7222.35,0,6.41,11,6/27/2015 10:57,"274 Randy Ports Apt. 228 Gomezside, KY 96667-1028",Davis and Sons,1
Cody Williams,38,11758.69,0,6.97,11,8/14/2016 18:04,USNS Lewis FPO AE 38853,"Farley, Clark and Peterson",1
Lori Ross,55,8772,1,6.43,10,3/1/2006 20:57,"65806 Dean Plaza Apt. 089 West Jacobfort, AR 83049","Butler, Harrison and Hall",1
David Montes,45,7351.38,0,5.76,11,10/6/2016 23:11,"666 Julie Ports Apt. 094 South Johntown, MO 10168-2804",Watson-Hall,1
Robin Rowe,30,7960.64,1,2.72,10,4/15/2016 12:08,"87953 Fuller Turnpike Apt. 510 Russellstad, MH 32784-9434","Bradley, Mejia and Williams",1
Amber Spears,41,13365.66,1,8.36,9,7/26/2008 3:00,"455 Garcia Via Suite 177 Lake Jefferyside, MN 81187",Gray Inc,1
Kathy Johnson,32,8617.98,1,6.2,10,5/14/2008 16:07,"570 Smith Mountains Hunterview, OK 46533",Jordan-Murphy,1
Thomas Rose,52,11849.13,0,6.8,11,8/18/2012 9:16,"9928 Lawson Court Andersonborough, KS 54353-7605","Lynch, Padilla and Myers",1
Sandra Williams,37,11145.95,1,5.87,11,1/10/2013 10:11,"0728 Melton Avenue Robertville, KY 71675-3667",Baker Ltd,1
Nathan Murphy,42,9577.42,0,5.86,11,1/18/2012 0:52,"34489 Andrew Wells North Charlesport, RI 48537",Deleon Ltd,1
Ryan Weaver,39,10110.4,1,5.78,13,3/10/2009 21:58,"8306 Nicole Lane Moranmouth, PR 36299","Keith, Richardson and Thomas",1
Jennifer King,43,8024.08,0,4.08,12,2/20/2016 7:00,"44850 Dennis Meadows Suite 044 Dariusland, IL 05918","Hunter, Reyes and Rivera",1
Theresa Berry,52,8563.24,0,5.29,11,3/24/2010 16:20,"1733 Theresa Port North Jason, WY 15864",Jones LLC,1
Robin Burke,40,9403.58,1,6.01,9,7/31/2014 1:07,"7225 James Corners Christopherville, OH 19625-4299",Patel PLC,1
Todd Thompson,38,12520.53,1,6.3,11,10/19/2008 9:18,"2779 Dalton Ports New James, AS 59322-0419","Guzman, Johnson and Berry",1
John Thomas,53,13655.59,1,2.05,10,12/24/2013 14:28,"342 Jensen Dam West Kylehaven, PW 89702-0398","Sanchez, Carter and Gross",1
Timothy Johnston,41,12680.46,0,5.92,11,3/29/2010 17:41,"44906 Walker Plaza Sanchezshire, AK 41013-8944","Cole, Shelton and Atkinson",1
Sarah Holloway,45,8429.65,1,7.1,10,8/26/2006 16:40,"099 Lopez Crescent Jamesport, OK 31273",Harrison-Ferrell,1
Scott Chambers,44,11424,1,5.98,10,11/16/2011 6:51,"9525 Allen Camp Apt. 362 West Dawnmouth, GA 04347","Davis, Cole and Thompson",1
Kathryn Ponce,46,13725.55,0,5.09,9,3/4/2006 0:11,"43798 Jones Garden Apt. 027 Monicashire, ND 82344","Cochran, Molina and Higgins",1
Patrick Robinson,47,7396.1,0,4.11,11,3/10/2014 6:51,"753 Sara Fall Lake Erinmouth, OK 02340-4525",Tran-Rodriguez,1
Laurie Green,51,8100.43,1,4.92,13,1/14/2006 1:47,"74631 Kyle Mountain Apt. 268 Andrewmouth, MI 55255","Callahan, Hinton and Murray",1
Amber Hobbs,43,10400.88,0,5.84,10,3/28/2013 20:04,"8044 Bates Spring Jonesborough, LA 63728","Nelson, Ray and Johnson",1
Tina King,40,8625.96,1,6.27,13,8/7/2008 1:50,"80203 Brandon Hill Apt. 353 New Luisport, VA 65076",Franco-Jones,1
David Hess,41,5192.38,1,4.86,11,11/6/2015 3:12,"PSC 1062, Box 1827 APO AA 46087-7414",Johnson-Walker,1
Jose Lee,45,12455.38,0,3.26,11,2/24/2015 14:54,"036 Hunter Heights Suite 701 New Rickey, HI 95539-9622",Nelson LLC,1
Brian Young,49,10522.21,0,7.25,14,11/8/2014 0:40,Unit 6711 Box 7964 DPO AA 27820,Munoz Ltd,1
Erica Flores,38,9624.18,0,5.53,12,12/22/2008 6:09,"421 Kevin Shoal Grahamport, RI 11504",Carey Ltd,1
